Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,7.53,6.24,6.34,6.8,6.54,5.46,5.91,5.67,6.04,5.32
20,26.11,23.33,22.13,25.03,24.65,22.18,22.38,19.94,22.44,20.21
30,42.37,38.81,37.73,41.42,40.94,38.24,37.71,35.74,38.42,35.18
