Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,10.65,9.56,9.51,9.57,9.59,9.54,9.14,9.81,9.55,9.5
20,24.03,21.77,22.34,23.71,23.76,22.62,23.42,22.92,21.47,21.38
30,29.86,28.83,29.63,28.55,29.13,27.98,29.41,28.71,29.0,28.13
