Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,18.74,18.54,16.29,17.58,13.05,14.81,18.45,21.74,16.47,17.11
2,22.39,20.0,22.41,25.97,28.5,24.75,21.31,28.03,22.01,21.34
3,25.28,22.11,21.41,22.43,20.96,19.36,22.41,24.35,20.31,18.44
4,19.42,27.14,26.04,24.88,27.34,26.16,32.93,32.04,19.79,28.92
