Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.97,0.99,0.67,0.88,1.3,1.42,1.4,1.1,1.09,0.88
20,1.92,1.8,1.33,1.37,1.35,1.45,2.73,1.2,1.37,1.38
30,2.72,2.5,1.88,2.0,1.4,1.47,4.4,1.55,1.72,2.16
