Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,2.75,2.92,1.58,1.54,1.51,1.86,3.3,1.92,1.79,2.44
20,3.56,3.83,1.73,1.71,2.11,2.43,4.43,2.61,2.63,4.41
30,3.98,3.9,2.27,2.34,1.87,2.01,5.68,2.11,2.29,3.16
