Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,2.88,2.18,2.16,3.14,2.45,3.05,3.38,3.61,1.96,2.28
2,11.67,7.53,6.32,16.82,12.21,15.85,13.89,12.7,6.43,7.84
3,15.41,9.6,8.82,13.75,15.59,24.08,20.23,26.33,7.49,15.54
4,16.52,9.27,9.04,16.4,13.86,13.12,18.51,18.79,8.76,10.51
