Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,8.54,7.45,6.85,7.22,6.64,10.55,7.25,7.74,6.45,10.95
2,16.5,14.14,12.4,15.76,12.85,14.36,15.32,18.65,15.47,11.56
3,17.2,14.35,14.07,16.92,13.34,13.69,18.79,22.86,12.77,17.08
4,14.72,10.07,9.39,10.38,10.57,12.87,11.23,14.57,8.94,10.25
