Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,5.76,5.76,2.11,2.11,3.61,4.01,6.83,5.3,5.3,5.83
20,125.45,125.45,45.46,45.46,64.17,56.72,143.98,93.75,93.75,125.69
30,610.52,610.56,220.86,220.87,300.65,289.02,681.81,449.12,449.08,596.95
