Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,36689.1,46777.65,9147.84,19235.74,8759.88,25863.98,8367.19,12519.42,12764.01,55583.13
2,49643.53,33321.61,32823.07,16499.19,43491.15,28937.27,16162.21,12344.3,48713.5,105465.94
3,107272.18,71506.09,76691.44,33384.22,50394.92,74202.18,37905.63,16783.11,72573.66,88747.92
4,113584.77,83439.83,67410.81,38829.34,71466.03,86427.09,51145.06,68207.09,80087.36,72680.48
