Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,89.75,96.13,97.28,92.91,94.41,95.01,97.46,91.28,97.73,99.55
2,71.97,81.15,78.75,71.17,69.62,46.85,55.3,43.06,76.47,59.11
3,31.94,43.78,47.29,25.36,26.1,29.12,27.8,29.06,52.45,49.81
4,15.61,24.34,26.57,10.75,19.95,16.28,10.21,10.41,21.39,22.74
