Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.93,0.9,0.56,0.65,1.23,1.61,1.04,0.99,0.97,0.76
2,2.63,2.66,1.57,1.47,3.12,3.18,2.2,2.93,3.62,1.79
3,4.96,5.13,2.87,2.27,3.55,4.45,5.9,5.41,5.36,3.86
4,11.2,11.08,4.21,4.76,9.68,10.19,12.93,8.85,8.66,7.72
