Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.56,0.63,0.48,0.44,1.33,1.46,0.75,0.93,0.95,0.43
2,2.97,2.97,2.04,1.48,4.98,5.03,4.26,6.51,7.28,2.63
3,6.16,6.31,3.05,2.93,4.71,5.26,6.45,3.46,4.01,4.2
4,5.38,5.06,2.47,2.48,3.91,3.75,6.43,3.44,4.59,3.56
