Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.95,0.97,0.68,0.81,1.33,1.47,1.61,1.1,1.08,0.87
20,1.84,1.61,1.36,1.27,1.37,1.53,2.62,1.19,1.46,1.3
30,2.94,2.84,2.07,1.96,1.46,1.45,4.51,1.71,1.73,2.19
