Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,33.86,40.36,39.65,34.58,40.81,17.81,38.44,34.27,38.5,7.33
2,13.42,14.61,15.04,9.6,13.76,13.5,12.03,11.13,5.82,12.22
3,16.1,7.52,10.59,16.14,16.71,10.65,11.14,14.01,14.2,7.08
4,8.7,16.49,19.23,16.42,16.91,20.41,17.32,14.96,17.71,22.5
