Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,28.06,25.2,27.47,25.62,26.72,25.59,29.13,28.56,26.25,26.08
20,18.33,14.51,15.97,27.85,24.04,30.13,28.48,29.15,14.86,17.89
30,17.12,20.29,19.65,19.07,16.33,16.27,16.97,14.88,19.88,18.65
