Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,98.86,99.47,99.76,97.77,99.35,98.38,97.29,99.16,99.71,99.56
2,80.2,87.86,79.57,73.57,67.3,63.04,65.1,61.65,87.67,76.94
3,36.1,66.92,67.11,37.03,38.05,35.08,38.57,43.35,68.92,66.11
4,28.59,31.41,35.59,25.8,27.95,26.1,21.36,20.68,32.79,30.47
