epoch,loss,skeleton,smooth,step,val_loss
0,0.29838261008262634,0.22912125289440155,6.401330665539717e-07,9,
0,0.2359682023525238,0.12202384322881699,1.1448266832303489e-06,19,
0,0.16298915445804596,0.05561509728431702,1.436816432942578e-06,29,
0,,,,30,0.16151991486549377
1,0.10034541040658951,0.027515709400177002,1.3481095493261819e-06,39,
1,0.059131376445293427,0.012422866187989712,1.1834654287667945e-06,49,
1,0.04352380707859993,0.00979548878967762,1.1344654922140762e-06,59,
1,,,,61,0.041190166026353836
2,0.03899407759308815,0.007737832609564066,1.1399671393519384e-06,69,
2,0.033997803926467896,0.006416532676666975,1.1270813047303818e-06,79,
2,0.03405759483575821,0.005388785153627396,1.1548917200343567e-06,89,
2,,,,92,0.0329744853079319
3,0.03202361986041069,0.0050117745995521545,1.2067312127328478e-06,99,
3,0.029792195186018944,0.004891302436590195,1.275067234018934e-06,109,
3,0.02665889449417591,0.0045567951165139675,1.34657727812737e-06,119,
3,,,,123,0.026412496343255043
4,0.02524404600262642,0.00449542049318552,1.3721809182243305e-06,129,
4,0.023311300203204155,0.004237127956002951,1.4146679632176529e-06,139,
4,0.021806590259075165,0.004137780517339706,1.4246884347812738e-06,149,
4,,,,154,0.020418571308255196
5,0.020096655935049057,0.003756789956241846,1.4090786635279073e-06,159,
5,0.018206246197223663,0.0035805762745440006,1.431786813554936e-06,169,
5,0.016955645754933357,0.0037160248029977083,1.4322057495519402e-06,179,
5,,,,185,0.01443319208920002
6,0.013181854039430618,0.0034912675619125366,1.4254321740736486e-06,189,
6,0.011517440900206566,0.0031239811796694994,1.4714174767505028e-06,199,
6,0.009758955799043179,0.0029728279914706945,1.4786436395297642e-06,209,
6,,,,216,0.008268134668469429
7,0.007734989281743765,0.002742145908996463,1.5092920193637838e-06,219,
7,0.006505174562335014,0.002487916499376297,1.602893348717771e-06,229,
7,0.005541339050978422,0.0022161565721035004,1.5842938410060015e-06,239,
7,,,,247,0.005162186920642853
8,0.0048682354390621185,0.0021716176997870207,1.5413851315315696e-06,249,
8,0.00448350515216589,0.0019672547932714224,1.6417745882790769e-06,259,
8,0.0041162860579788685,0.0017908032750710845,1.715914550004527e-06,269,
8,,,,278,0.003939437214285135
9,0.003885705955326557,0.0017655538395047188,1.7628991599849542e-06,279,
9,0.0036328346468508244,0.0016485544620081782,1.7389128288414213e-06,289,
9,0.003397120162844658,0.001541346195153892,1.8451816004017019e-06,299,
9,0.0025183262769132853,0.0008699642494320869,1.659445381108071e-08,309,
9,,,,309,0.0033251347485929728
10,0.0031860312446951866,0.0013571380404755473,1.9578949377319077e-06,319,
10,0.0029486198909580708,0.0012265086406841874,1.911700337586808e-06,329,
10,0.0027853422798216343,0.0011924704303964972,1.9331353087181924e-06,339,
10,,,,340,0.002924786414951086
11,0.0027726052794605494,0.001216716831550002,1.9876738406310324e-06,349,
11,0.0025769469793885946,0.001085100113414228,1.9892452201020205e-06,359,
11,0.0024606953375041485,0.001055987668223679,2.0125116861891e-06,369,
11,,,,371,0.002632823307067156
12,0.0025282895658165216,0.0009645507670938969,2.103702172462363e-06,379,
12,0.002447151578962803,0.0009806451853364706,2.0551326542772586e-06,389,
12,0.002429472515359521,0.0009124814532697201,2.137248657163582e-06,399,
12,,,,402,0.0024060572031885386
13,0.0023444010876119137,0.0008665169007144868,2.2178699055075413e-06,409,
13,0.0021966721396893263,0.0008243530173785985,2.1728581032220973e-06,419,
13,0.0022299180272966623,0.0007635210640728474,2.2604815512750065e-06,429,
13,,,,433,0.0022217477671802044
14,0.002163697499781847,0.0007988479919731617,2.2080498638388235e-06,439,
14,0.0022342337761074305,0.0007143869297578931,2.350133399886545e-06,449,
14,0.002134042326360941,0.0007319024298340082,2.3168699954112526e-06,459,
14,,,,464,0.002066758694127202
15,0.0020959957037121058,0.0006474037072621286,2.3070663246471668e-06,469,
15,0.0019529802957549691,0.0005857272772118449,2.3602642613695934e-06,479,
15,0.001983197405934334,0.0006007662741467357,2.3609641175426077e-06,489,
15,,,,495,0.0019332694355398417
16,0.0019090675050392747,0.0005988813354633749,2.3725883693259675e-06,499,
16,0.0019104689126834273,0.0005435951170511544,2.3514578515460016e-06,509,
16,0.0018358000088483095,0.0005218019359745085,2.3007651179796085e-06,519,
16,,,,526,0.0018163511995226145
17,0.0017776823369786143,0.0005217497819103301,2.303144583493122e-06,529,
17,0.0017947533633559942,0.0005045178695581853,2.3836976197344484e-06,539,
17,0.0016639858949929476,0.0004430510743986815,2.3139198219723767e-06,549,
17,,,,557,0.001712691388092935
18,0.0016333134844899178,0.00047191462363116443,2.193454065491096e-06,559,
18,0.001652437960729003,0.0004376217839308083,2.2423926111514447e-06,569,
18,0.0016163223190233111,0.000399054930312559,2.3264797164301854e-06,579,
18,,,,588,0.001619945396669209
19,0.001623110962100327,0.0004190584586467594,2.3591885565110715e-06,589,
19,0.0015715500339865685,0.0004046645190101117,2.2825799987913342e-06,599,
19,0.0015315287746489048,0.0003768129099626094,2.304994040969177e-06,609,
19,0.0009926327038556337,0.00013542499800678343,1.4863517527885506e-08,619,
19,,,,619,0.0015363892307505012
20,0.0015240750508382916,0.0003360033151693642,2.2882175017002737e-06,629,
20,0.001414290047250688,0.0002930912305600941,2.0767229216289707e-06,639,
20,0.0013874968281015754,0.000292984681436792,2.0774523363797925e-06,649,
20,,,,650,0.001460712868720293
21,0.001420589629560709,0.0003211145813111216,2.1925864075456047e-06,659,
21,0.0013338224962353706,0.00027457342366687953,2.0499580841715215e-06,669,
21,0.0013041282072663307,0.0002685555082280189,2.05572086997563e-06,679,
21,,,,681,0.0013918906915932894
22,0.0013501157518476248,0.0002446418802719563,2.072154984489316e-06,689,
22,0.0013292344519868493,0.00026282246108166873,2.0108409444219433e-06,699,
22,0.001343425246886909,0.0002438952069496736,2.0197430785628967e-06,709,
22,,,,712,0.0013290992937982082
23,0.00129590998403728,0.00023270117526408285,2.0686252355517354e-06,719,
23,0.0012385251466184855,0.00022333767265081406,1.980209617613582e-06,729,
23,0.001272484427317977,0.00020989580661989748,1.9772012365137925e-06,739,
23,,,,743,0.0012716584606096148
24,0.00124180328566581,0.0002265000221086666,1.934451347551658e-06,749,
24,0.0013073614099994302,0.0002033001510426402,2.0377376586111495e-06,759,
24,0.001251142006367445,0.0002157169656129554,1.98861653188942e-06,769,
24,,,,774,0.0012189813423901796
25,0.0012372354976832867,0.0001879476913018152,1.8799514691636432e-06,779,
25,0.0011727233650162816,0.00016550108557567,1.8544958493293962e-06,789,
25,0.0011888465378433466,0.0001785245112841949,1.8828521888281102e-06,799,
25,,,,805,0.001170554431155324
26,0.0011566374450922012,0.0001769630325725302,1.8752936057353509e-06,809,
26,0.0011660559102892876,0.0001648070028750226,1.7630080719754915e-06,819,
26,0.0011390580330044031,0.0001581281831022352,1.7260672393604182e-06,829,
26,,,,836,0.001125938375480473
27,0.001101125730201602,0.00016466832312289625,1.717355303298973e-06,839,
27,0.0011260249884799123,0.00016296750982291996,1.744341147968953e-06,849,
27,0.0010544771794229746,0.00014100999396760017,1.6126919035741594e-06,859,
27,,,,867,0.0010847666999325156
