epoch,loss,skeleton,smooth,step,val_loss
0,0.3201647400856018,0.1458919644355774,3.292374231023132e-06,9,
0,0.26131585240364075,0.08340394496917725,5.793718173663365e-06,19,
0,0.18802399933338165,0.05004766583442688,5.951879757049028e-06,29,
0,,,,30,0.1805724948644638
1,0.12138497829437256,0.031639378517866135,5.764929937868146e-06,39,
1,0.07087093591690063,0.010586765594780445,4.755534519063076e-06,49,
1,0.04487200453877449,0.010041494853794575,3.0263918233686127e-06,59,
1,,,,61,0.04129708930850029
2,0.036987531930208206,0.007670791354030371,2.382460706940037e-06,69,
2,0.03218521922826767,0.006399870850145817,2.0932006918883417e-06,79,
2,0.03079873137176037,0.005729351192712784,2.02458750209189e-06,89,
2,,,,92,0.029962116852402687
3,0.02988455630838871,0.005171440076082945,2.2108245048002573e-06,99,
3,0.026579810306429863,0.004842889960855246,2.3388704448734643e-06,109,
3,0.023559730499982834,0.004504670388996601,2.4647640657349257e-06,119,
3,,,,123,0.02267318032681942
4,0.021238332614302635,0.004266064614057541,2.6451621124579106e-06,129,
4,0.01876341924071312,0.00376429152674973,3.1191470952762756e-06,139,
4,0.016363903880119324,0.003565717488527298,3.132539404759882e-06,149,
4,,,,154,0.015222861431539059
5,0.013820307329297066,0.003252781229093671,3.359881247888552e-06,159,
5,0.01326761581003666,0.002943988423794508,3.5568475595937343e-06,169,
5,0.012371767312288284,0.002707070903852582,4.058241756865755e-06,179,
5,,,,185,0.011440849862992764
6,0.01179179735481739,0.0025518396869301796,3.938691406801809e-06,189,
6,0.010600438341498375,0.0023095549549907446,4.033653112855973e-06,199,
6,0.010300311259925365,0.002235947409644723,4.087221441295696e-06,209,
6,,,,216,0.009752030484378338
7,0.009770610369741917,0.002068435773253441,3.8722077988495585e-06,219,
7,0.009203238412737846,0.0019465700024738908,3.927779744117288e-06,229,
7,0.00878074113279581,0.0018216727767139673,4.0000172703003045e-06,239,
7,,,,247,0.00884305126965046
8,0.008855318650603294,0.0018280314980074763,3.922253199561965e-06,249,
8,0.009187016636133194,0.0017238231375813484,3.852401732729049e-06,259,
8,0.009218098595738411,0.0015781652182340622,4.1650282582850195e-06,269,
8,,,,278,0.008117474615573883
9,0.007553869858384132,0.0014675696147605777,3.962585651606787e-06,279,
9,0.007980208843946457,0.0014151583891361952,3.8182679418241605e-06,289,
9,0.007092579267919064,0.0013108128914609551,3.850567736662924e-06,299,
9,0.007027630228549242,0.0008513301727361977,2.9347932084533568e-08,309,
9,,,,309,0.0073745474219322205
10,0.008022641763091087,0.0012641887878999114,3.969518274971051e-06,319,
10,0.007309863809496164,0.0012787443120032549,3.6265271319280146e-06,329,
10,0.006040290929377079,0.0011784411035478115,3.5612090414360864e-06,339,
10,,,,340,0.006387447007000446
11,0.00645413575693965,0.0011972686043009162,3.499309968901798e-06,349,
11,0.00553553830832243,0.00114322395529598,3.4114968912035692e-06,359,
11,0.005354879889637232,0.0011064158752560616,3.2408220249635633e-06,369,
11,,,,371,0.0054245940409600735
12,0.005134567618370056,0.0011217257706448436,3.333612994538271e-06,379,
12,0.004598388448357582,0.0010014590807259083,3.3019048260030104e-06,389,
12,0.004550616722553968,0.0009609773987904191,3.1424992812389974e-06,399,
12,,,,402,0.0045477245002985
13,0.0044561587274074554,0.0009533441043458879,3.1125803161557997e-06,409,
13,0.004381806124001741,0.0008866568095982075,3.0893152143107727e-06,419,
13,0.0042956313118338585,0.0008232514373958111,2.9753527996945195e-06,429,
13,,,,433,0.004155457951128483
14,0.0037041809409856796,0.0008149671484716237,2.950067710116855e-06,439,
14,0.004336066544055939,0.0007195672369562089,3.1010326893010642e-06,449,
14,0.0040472098626196384,0.0006692853639833629,2.9280847684276523e-06,459,
14,,,,464,0.003939584828913212
15,0.0038394033908843994,0.0006795971421524882,2.969881052194978e-06,469,
15,0.0038905865512788296,0.0006343026761896908,2.922450448750169e-06,479,
15,0.003708421252667904,0.0005608598003163934,3.100041567449807e-06,489,
15,,,,495,0.0037678927183151245
16,0.0037743104621767998,0.0006131055997684598,2.8910715172969503e-06,499,
16,0.003622894873842597,0.000532486301381141,2.9630552944581723e-06,509,
16,0.0032670414075255394,0.0005152131197974086,2.9069692573102657e-06,519,
16,,,,526,0.003634486347436905
17,0.003516466822475195,0.0004800001624971628,2.7958813006989658e-06,529,
17,0.003623184049502015,0.00048769169370643795,2.8448284865589812e-06,539,
17,0.0032271258533000946,0.0004401472397148609,2.755014065769501e-06,549,
17,,,,557,0.003540643025189638
18,0.0032491039019078016,0.00047441880451515317,2.731007725742529e-06,559,
18,0.003917081281542778,0.0004576228966470808,2.7021599180443445e-06,569,
18,0.003412155667319894,0.00040875590639188886,2.8265271794225555e-06,579,
18,,,,588,0.003472563810646534
19,0.003205234184861183,0.0003788870817515999,2.739584942901274e-06,589,
19,0.0032770757097750902,0.00037866714410483837,2.6534203243500087e-06,599,
19,0.002772359410300851,0.00036943319719284773,2.6514119326748187e-06,609,
19,0.0018830725457519293,0.0001532071182737127,1.8840966120592384e-08,619,
19,,,,619,0.0034259771928191185
20,0.0032192121725529432,0.000351968890754506,2.703707878026762e-06,629,
20,0.003003801219165325,0.000367087428458035,2.525183163015754e-06,639,
20,0.0027669330593198538,0.00030694296583533287,2.535141902626492e-06,649,
20,,,,650,0.003399244276806712
21,0.0033436177764087915,0.0003162254870403558,2.5709518922667485e-06,659,
21,0.0028926623053848743,0.00027738179778680205,2.391088628428406e-06,669,
21,0.00300177582539618,0.00027892860816791654,2.347771669519716e-06,679,
21,,,,681,0.003371195634827018
22,0.00300409272313118,0.0002719229960348457,2.4431342353636865e-06,689,
22,0.003028127597644925,0.0002569598436821252,2.450303099976736e-06,699,
22,0.0031542915385216475,0.0002540254208724946,2.419014208498993e-06,709,
22,,,,712,0.003274539951235056
23,0.003266459098085761,0.00027544345357455313,2.39073165175796e-06,719,
23,0.003375160275027156,0.0002521861460991204,2.424162175884703e-06,729,
23,0.0032033531460911036,0.000238153719692491,2.3033542220218806e-06,739,
23,,,,743,0.0031350208446383476
24,0.00270194374024868,0.0002456929942127317,2.193348336732015e-06,749,
24,0.0034362333826720715,0.0002182136377086863,2.409308535789023e-06,759,
24,0.003201799700036645,0.00019933845032937825,2.1456157810462173e-06,769,
24,,,,774,0.003047291422262788
25,0.0031088965479284525,0.00020156819664407521,2.3144802980823442e-06,779,
25,0.0031576838809996843,0.00020092066552024335,2.204360725954757e-06,789,
25,0.002917996607720852,0.00017823492817115039,2.2686231204716023e-06,799,
25,,,,805,0.0029988617170602083
26,0.0031210570596158504,0.0001915314787765965,2.1305211248545675e-06,809,
26,0.0030579427257180214,0.00017302506603300571,2.188914095313521e-06,819,
26,0.0025818850845098495,0.00017432500317227095,2.0825257251999574e-06,829,
26,,,,836,0.002961154794320464
27,0.002961610211059451,0.00016401639732066542,1.988730900848168e-06,839,
27,0.003010874381288886,0.0001751564850565046,2.0970239802409196e-06,849,
27,0.0025351655203849077,0.0001488618872826919,1.9377748685656115e-06,859,
27,,,,867,0.0029270502272993326
28,0.0026244670152664185,0.0001741535816108808,1.9210799564461922e-06,869,
28,0.003336674999445677,0.00016908187535591424,2.035659235843923e-06,879,
28,0.0028669077437371016,0.00015433660882990807,2.08113942790078e-06,889,
28,,,,898,0.002895528683438897
29,0.002680723089724779,0.00013409630628302693,1.8609251810630667e-06,899,
29,0.002864339156076312,0.00013738760026171803,1.977437932509929e-06,909,
29,0.0023054860066622496,0.00013795575068797916,1.815872792576556e-06,919,
29,0.0016766560729593039,5.050786057836376e-05,8.596454215137328e-09,929,
29,,,,929,0.0028663345146924257
30,0.002784263575449586,0.0001303416065638885,1.940120455401484e-06,939,
30,0.002647492103278637,0.00014057949010748416,1.8647660908754915e-06,949,
30,0.002351154340431094,0.00012075572885805741,1.8611577843330451e-06,959,
30,,,,960,0.002839169930666685
31,0.002924462081864476,0.00012505915947258472,1.8878756691265153e-06,969,
31,0.0025444412603974342,0.00011637841089395806,1.697131892797188e-06,979,
31,0.0026713076513260603,0.00011533022916410118,1.7108748124883277e-06,989,
31,,,,991,0.002813697326928377
32,0.002624398097395897,0.00011728502431651577,1.7990518017541035e-06,999,
32,0.0026310544926673174,0.0001062863739207387,1.7996635506278835e-06,1009,
32,0.002718179952353239,0.00010801568714668974,1.787202450032055e-06,1019,
32,,,,1022,0.0027896175161004066
33,0.002764339093118906,0.00011271913535892963,1.7697969951768755e-06,1029,
33,0.002937039127573371,0.00010798518633237109,1.8537426740294904e-06,1039,
33,0.0028215970378369093,0.00010565920820226893,1.7706908010950428e-06,1049,
33,,,,1053,0.0027666545938700438
34,0.0023939376696944237,0.0001171248295577243,1.6247820440185023e-06,1059,
34,0.0031179687939584255,0.00010577469220152125,1.945134954439709e-06,1069,
34,0.002881626831367612,9.1992573288735e-05,1.598489802745462e-06,1079,
34,,,,1084,0.002744567347690463
35,0.0027927726041525602,9.880505240289494e-05,1.8737165419224766e-06,1089,
35,0.0028474442660808563,9.76480296230875e-05,1.7627737634029472e-06,1099,
35,0.002591235563158989,8.858776709530503e-05,1.7896688859764254e-06,1109,
35,,,,1115,0.0027231427375227213
36,0.0028141317889094353,9.521434549242258e-05,1.6610840702924179e-06,1119,
36,0.0027344634290784597,9.020419383887202e-05,1.7692710798655753e-06,1129,
36,0.0022986617404967546,9.080808376893401e-05,1.6171363768080482e-06,1139,
36,,,,1146,0.0027021935675293207
37,0.0026749419048428535,8.495894871884957e-05,1.5584081438646535e-06,1149,
37,0.0027322855312377214,9.795727964956313e-05,1.7236767462236458e-06,1159,
37,0.002269310876727104,7.808792724972591e-05,1.5231034922180697e-06,1169,
37,,,,1177,0.0026815482415258884
38,0.0023835257161408663,9.571086411597207e-05,1.550331376165559e-06,1179,
38,0.0031098397448658943,9.528030932415277e-05,1.7410296777597978e-06,1189,
38,0.002658675890415907,8.848393190419301e-05,1.765793399499671e-06,1199,
38,,,,1208,0.002661063801497221
39,0.0024720747023820877,7.48787570046261e-05,1.491922262175649e-06,1209,
39,0.002617155434563756,7.619318057550117e-05,1.6606276176389656e-06,1219,
39,0.0021048090420663357,8.339334453921765e-05,1.4873934333081706e-06,1229,
39,0.0014293756103143096,3.998799729743041e-05,4.063319014591116e-09,1239,
39,,,,1239,0.0026405982207506895
40,0.00254566827788949,7.952284795464948e-05,1.6354357512682327e-06,1249,
40,0.002423760714009404,8.159627759596333e-05,1.6216631593124475e-06,1259,
40,0.0021403394639492035,7.217542588477954e-05,1.5906355201877886e-06,1269,
40,,,,1270,0.0026200073771178722
41,0.0027623132336884737,7.817737787263468e-05,1.7046560287781176e-06,1279,
41,0.0023343265056610107,7.352880493272096e-05,1.4405503634407069e-06,1289,
41,0.002459262264892459,7.065820682328194e-05,1.4881433116897824e-06,1299,
41,,,,1301,0.0025991322472691536
42,0.0024037633556872606,7.746068149572238e-05,1.599061533852364e-06,1309,
42,0.002465516794472933,7.224504952318966e-05,1.59896592322184e-06,1319,
42,0.0025256916414946318,7.25363934179768e-05,1.6109308944578515e-06,1329,
42,,,,1332,0.002577799605205655
43,0.002580637577921152,7.942249067127705e-05,1.616400140846963e-06,1339,
43,0.0027378711383789778,7.133901090128347e-05,1.6684019783497206e-06,1349,
43,0.0026142168790102005,7.178702799137682e-05,1.649025762162637e-06,1359,
43,,,,1363,0.0025558392517268658
44,0.0022476916201412678,8.606648771092296e-05,1.4742868188477587e-06,1369,
44,0.002894831355661154,7.441890193149447e-05,1.8289849776920164e-06,1379,
44,0.0026608959306031466,6.275188206927851e-05,1.4555067764376872e-06,1389,
44,,,,1394,0.002533104969188571
45,0.002535588340833783,7.102361269062385e-05,1.7336628843622748e-06,1399,
45,0.002651638351380825,7.106242992449552e-05,1.6622784642095212e-06,1409,
45,0.002376940567046404,6.502648466266692e-05,1.7092680764108081e-06,1419,
45,,,,1425,0.0025095739401876926
46,0.0025894343852996826,6.582651985809207e-05,1.5070576182552031e-06,1429,
46,0.0024945198092609644,6.817305984441191e-05,1.7216401602127007e-06,1439,
46,0.0021235488820821047,7.053405715851113e-05,1.5104722024261719e-06,1449,
46,,,,1456,0.0024855840019881725
47,0.002480877097696066,6.472137465607375e-05,1.4594356798625086e-06,1459,
