Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.99,0.99,0.61,0.53,1.39,1.48,1.21,1.07,1.15,0.89
20,2.03,2.01,1.49,1.1,1.32,1.46,2.18,1.36,1.37,1.64
30,2.93,2.82,1.57,1.15,1.25,1.38,2.91,1.66,1.61,2.12
