Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,54.9,56.46,55.62,62.57,63.7,62.48,62.3,56.82,57.8,57.37
20,30.34,31.89,33.9,31.38,34.59,33.48,34.15,33.49,33.66,33.79
30,24.31,26.23,26.37,27.35,28.64,28.47,31.63,30.08,26.04,27.81
