Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,6.14,5.25,5.12,5.17,5.37,5.3,5.28,5.4,5.07,4.11
20,15.73,14.19,14.08,15.31,15.58,14.92,14.99,14.64,13.37,13.3
30,28.62,25.71,25.24,27.33,26.69,26.67,25.55,27.12,25.23,24.92
