Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,1.69,1.16,1.22,1.87,1.62,1.84,2.05,2.16,0.98,1.25
2,9.27,6.24,5.05,12.33,8.36,10.7,11.5,9.78,5.31,6.52
3,10.15,7.15,8.04,8.47,14.2,20.44,16.59,20.44,6.35,13.14
4,14.19,7.44,7.86,13.39,12.0,11.52,14.54,14.94,6.82,8.26
