Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,89.24,89.81,89.89,88.95,89.16,88.08,88.91,88.94,89.5,89.81
20,76.18,78.4,78.12,77.44,76.9,77.01,76.69,76.66,78.7,78.61
30,51.45,54.81,60.17,39.21,38.91,36.62,42.1,52.13,55.43,60.59
