Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.48,0.49,0.28,0.35,1.32,1.39,0.62,1.0,1.0,0.35
2,3.28,3.59,1.32,1.64,8.7,8.8,2.25,8.37,7.83,1.91
3,3.98,3.98,1.8,1.78,5.76,5.08,3.44,6.69,6.03,2.23
4,4.95,5.07,2.19,2.19,4.81,4.66,7.67,6.11,7.49,4.67
