Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,4.08,4.57,3.02,4.15,2.15,2.4,5.26,2.27,17.55,3.84
2,4.88,6.71,10.22,7.65,6.52,8.56,8.57,2.48,2.7,3.7
3,7.1,7.57,5.41,5.13,2.37,2.49,6.41,3.05,5.4,7.36
4,6.05,6.45,6.47,6.13,2.69,3.04,8.18,3.42,3.71,5.7
