Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,1.28,1.27,0.67,0.74,1.2,1.69,1.24,1.31,1.09,1.19
20,2.67,2.52,0.99,1.29,1.21,1.7,2.84,1.95,2.05,2.23
30,3.08,3.25,1.65,2.1,1.28,1.76,3.92,2.1,1.87,3.46
