Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,3.36,6.91,5.25,3.73,5.83,19.21,8.61,9.46,2.53,0.44
2,0.72,0.79,0.65,12.23,1.38,1.02,0.21,0.66,1.92,0.1
3,13.93,10.2,30.15,9.24,15.07,5.32,17.95,7.08,30.0,6.93
4,13.76,6.6,13.34,8.93,5.78,11.12,7.37,1.58,3.33,12.21
