Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,99.34,99.86,99.89,96.65,97.56,98.38,94.99,98.05,99.82,99.38
2,62.02,77.52,78.42,63.92,56.13,60.86,53.16,65.18,78.53,72.57
3,44.48,56.43,54.19,37.99,42.53,41.35,35.84,48.51,58.44,62.92
4,29.69,41.34,35.52,27.01,19.17,14.74,19.17,17.04,45.66,28.4
