Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,4.72,4.7,1.68,1.6,2.88,3.06,4.2,3.35,3.33,4.22
20,2.85,2.86,1.31,1.34,1.63,1.75,3.58,1.97,1.94,2.43
30,3.72,3.57,1.81,1.85,1.78,1.88,4.89,2.42,2.38,3.24
