Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,12.3,10.02,9.44,9.94,13.6,19.75,10.42,10.36,11.34,9.33
2,18.34,20.34,4.43,5.08,9.6,21.28,15.33,8.39,10.61,22.08
3,7.59,6.05,9.44,6.49,11.83,7.0,6.28,1.09,12.03,12.88
4,3.95,2.66,1.47,1.66,2.53,4.49,2.91,2.82,1.97,3.06
