Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,10.45,5.05,5.12,6.11,6.47,5.73,6.05,9.57,4.5,3.01
20,207.98,102.64,99.38,134.59,114.32,114.2,104.82,184.48,89.91,56.32
30,985.35,471.31,473.99,606.15,581.08,524.52,525.29,873.58,416.13,271.7
