Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,2.28,1.35,1.42,1.59,2.24,1.58,1.88,1.94,1.2,1.09
2,7.85,3.4,4.48,8.75,9.89,10.2,10.52,8.17,3.14,5.04
3,23.25,9.56,13.72,28.52,29.13,31.56,43.14,36.43,9.31,19.41
4,14.33,8.22,7.65,15.74,16.75,15.47,19.4,15.67,7.33,8.79
