Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,4.32,3.41,5.09,3.48,2.18,2.57,4.97,3.75,3.17,4.48
2,5.19,4.68,6.53,5.88,4.46,5.23,6.35,2.46,3.12,4.69
3,6.69,5.74,9.27,6.76,3.35,3.28,7.51,3.07,3.61,7.48
4,7.67,6.14,11.52,9.84,3.44,4.42,10.45,6.05,4.08,7.42
