Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,7.27,7.1,6.92,7.15,6.77,6.89,6.74,7.08,6.94,6.87
20,13.94,12.74,12.91,13.61,13.58,13.66,14.4,14.76,12.77,13.04
30,19.3,17.23,17.59,17.74,18.21,17.0,17.31,18.08,17.24,16.39
