Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,16.74,23.82,22.31,16.34,14.99,15.64,13.2,15.45,24.23,23.61
20,34.09,39.18,37.85,34.99,34.68,35.83,36.28,35.99,38.72,40.4
30,18.5,19.97,18.42,20.32,20.11,20.28,22.63,19.46,19.76,19.39
