Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,3.28,1.78,2.28,1.95,3.62,2.52,2.46,2.64,1.87,1.58
2,9.98,4.19,6.63,8.21,12.85,13.88,11.64,11.48,5.27,6.96
3,21.02,8.81,13.1,22.92,26.56,25.46,37.11,33.2,8.74,17.72
4,15.37,10.05,8.21,19.97,18.34,19.04,21.65,16.2,8.36,9.76
