Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,7.13,6.93,6.94,6.62,6.47,6.31,6.46,6.83,6.89,6.79
20,12.61,11.99,11.98,12.15,12.42,13.04,12.49,13.32,11.85,12.22
30,20.73,20.02,20.12,19.52,19.18,19.11,19.31,20.23,20.02,19.79
