epoch,loss,skeleton,smooth,step,val_loss
0,0.22839590907096863,0.0,0.0,9,
0,0.09168628603219986,0.0,0.0,19,
0,0.044128429144620895,0.0,0.0,29,
0,,,,30,0.037750449031591415
1,0.031766582280397415,0.0,0.0,39,
1,0.02691599167883396,0.0,0.0,49,
1,0.02206861786544323,0.0,0.0,59,
1,,,,61,0.020918499678373337
2,0.01738535240292549,0.0,0.0,69,
2,0.013397310860455036,0.0,0.0,79,
2,0.01050303690135479,0.0,0.0,89,
2,,,,92,0.010003162547945976
3,0.008793113753199577,0.0,0.0,99,
3,0.007179902400821447,0.0,0.0,109,
3,0.006373431533575058,0.0,0.0,119,
3,,,,123,0.005770390387624502
4,0.005237320438027382,0.0,0.0,129,
4,0.004849075339734554,0.0,0.0,139,
4,0.004245464690029621,0.0,0.0,149,
4,,,,154,0.004115083254873753
5,0.00397431431338191,0.0,0.0,159,
5,0.0037776120007038116,0.0,0.0,169,
5,0.00356328790076077,0.0,0.0,179,
5,,,,185,0.0034760544076561928
6,0.0034084434155374765,0.0,0.0,189,
6,0.003228291403502226,0.0,0.0,199,
6,0.0031228666193783283,0.0,0.0,209,
6,,,,216,0.0030670054256916046
7,0.0030766266863793135,0.0,0.0,219,
7,0.0028025938663631678,0.0,0.0,229,
7,0.0027773797046393156,0.0,0.0,239,
7,,,,247,0.0027400110848248005
8,0.0026407944969832897,0.0,0.0,249,
8,0.0026225063484162092,0.0,0.0,259,
8,0.002459511160850525,0.0,0.0,269,
8,,,,278,0.0024587379302829504
9,0.0024445131421089172,0.0,0.0,279,
9,0.0023206945043057203,0.0,0.0,289,
9,0.0022372964303940535,0.0,0.0,299,
9,0.0017771191196516156,0.0,0.0,309,
9,,,,309,0.0022084105294197798
10,0.0021724002435803413,0.0,0.0,319,
10,0.002117717172950506,0.0,0.0,329,
10,0.001898077898658812,0.0,0.0,339,
10,,,,340,0.0019821932073682547
11,0.001895436318591237,0.0,0.0,349,
11,0.0018128445371985435,0.0,0.0,359,
11,0.0018016508547589183,0.0,0.0,369,
11,,,,371,0.001776578719727695
12,0.0017746392404660583,0.0,0.0,379,
12,0.0016865357756614685,0.0,0.0,389,
12,0.0016071511199697852,0.0,0.0,399,
12,,,,402,0.0015911238733679056
13,0.0015777098014950752,0.0,0.0,409,
13,0.001494532567448914,0.0,0.0,419,
13,0.0014535058289766312,0.0,0.0,429,
13,,,,433,0.001427745446562767
14,0.0014016992645338178,0.0,0.0,439,
14,0.0013796157436445355,0.0,0.0,449,
14,0.001299354829825461,0.0,0.0,459,
14,,,,464,0.0012867238838225603
15,0.0012382094282656908,0.0,0.0,469,
15,0.0012086492497473955,0.0,0.0,479,
15,0.0011861014645546675,0.0,0.0,489,
15,,,,495,0.001165378955192864
16,0.001138375955633819,0.0,0.0,499,
16,0.001114444574341178,0.0,0.0,509,
16,0.001062292605638504,0.0,0.0,519,
16,,,,526,0.001061572809703648
17,0.0010729838395491242,0.0,0.0,529,
17,0.0009898687712848186,0.0,0.0,539,
17,0.0009593330905772746,0.0,0.0,549,
17,,,,557,0.000972091278526932
18,0.000947255757637322,0.0,0.0,559,
18,0.0009353063069283962,0.0,0.0,569,
18,0.0008871655445545912,0.0,0.0,579,
18,,,,588,0.000893621938303113
19,0.0008925221627578139,0.0,0.0,589,
19,0.0008494271896779537,0.0,0.0,599,
19,0.0008290206314995885,0.0,0.0,609,
19,0.0006576631567440927,0.0,0.0,619,
19,,,,619,0.0008248610538430512
20,0.000812599784694612,0.0,0.0,629,
20,0.0007936997571960092,0.0,0.0,639,
20,0.0007377144647762179,0.0,0.0,649,
20,,,,650,0.0007644533761776984
21,0.0007333018584176898,0.0,0.0,659,
21,0.000720533833373338,0.0,0.0,669,
21,0.0007136944914236665,0.0,0.0,679,
21,,,,681,0.0007114256150089204
22,0.0007079511415213346,0.0,0.0,689,
22,0.0006850468344055116,0.0,0.0,699,
22,0.0006614047451876104,0.0,0.0,709,
22,,,,712,0.0006649335846304893
23,0.0006504145567305386,0.0,0.0,719,
23,0.0006288234726525843,0.0,0.0,729,
23,0.0006369482725858688,0.0,0.0,739,
23,,,,743,0.0006242119125090539
24,0.0006161966011859477,0.0,0.0,749,
24,0.0006136188749223948,0.0,0.0,759,
24,0.0005991049692966044,0.0,0.0,769,
24,,,,774,0.000588524155318737
25,0.0005743264919146895,0.0,0.0,779,
25,0.0005530414055101573,0.0,0.0,789,
25,0.0005599869764409959,0.0,0.0,799,
