Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,90.22,92.3,96.11,96.09,88.41,88.28,92.25,80.51,92.32,94.2
2,86.31,84.57,96.09,80.51,70.74,84.51,80.65,61.04,76.84,100.0
3,76.55,67.08,80.67,61.17,74.82,88.34,63.01,64.94,69.21,86.52
4,70.78,57.27,73.07,59.24,53.23,59.01,47.49,80.56,82.68,59.67
