Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,7.41,7.63,6.93,6.89,7.5,8.64,7.98,8.25,6.54,11.53
2,14.85,15.22,13.51,14.87,14.48,15.26,16.24,21.09,17.94,13.32
3,12.14,11.55,10.65,13.03,10.1,11.8,17.37,23.45,9.02,15.78
4,13.61,12.66,9.82,13.35,12.51,20.69,15.8,16.9,12.09,11.67
