Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,89.5,89.67,89.65,89.85,89.16,89.38,89.21,88.79,89.87,89.21
20,67.38,74.08,72.73,72.4,67.74,71.65,71.53,74.92,73.02,77.04
30,47.67,58.03,53.77,47.34,41.6,41.41,40.85,43.22,62.42,57.78
