Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,97.12,96.71,96.72,95.68,96.45,93.99,92.55,90.52,96.71,96.31
2,45.24,68.37,62.05,42.17,45.77,39.83,41.88,35.53,62.95,58.22
3,31.41,40.86,49.95,21.13,29.09,22.2,24.84,26.94,48.97,41.26
4,22.16,34.4,36.58,15.45,16.98,17.55,15.51,17.32,43.46,34.51
