epoch,loss,skeleton,smooth,step,val_loss
0,0.24121345579624176,0.0,0.0,9,
0,0.11841067671775818,0.0,0.0,19,
0,0.05943581089377403,0.0,0.0,29,
0,,,,30,0.051384828984737396
1,0.0406307615339756,0.0,0.0,39,
1,0.034800536930561066,0.0,0.0,49,
1,0.031800057739019394,0.0,0.0,59,
1,,,,61,0.03091679885983467
2,0.030475180596113205,0.0,0.0,69,
2,0.025803092867136,0.0,0.0,79,
2,0.02342776395380497,0.0,0.0,89,
2,,,,92,0.022575629875063896
3,0.019986974075436592,0.0,0.0,99,
3,0.01979801617562771,0.0,0.0,109,
3,0.019117554649710655,0.0,0.0,119,
3,,,,123,0.01784726418554783
4,0.01812620274722576,0.0,0.0,129,
4,0.017667673528194427,0.0,0.0,139,
4,0.015553109347820282,0.0,0.0,149,
4,,,,154,0.015494522638618946
5,0.015159934759140015,0.0,0.0,159,
5,0.014719019643962383,0.0,0.0,169,
5,0.01474621333181858,0.0,0.0,179,
5,,,,185,0.014163065701723099
6,0.015182203613221645,0.0,0.0,189,
6,0.013874173164367676,0.0,0.0,199,
6,0.012195670045912266,0.0,0.0,209,
6,,,,216,0.0127510791644454
7,0.0154583053663373,0.0,0.0,219,
7,0.011603424325585365,0.0,0.0,229,
7,0.010783227160573006,0.0,0.0,239,
7,,,,247,0.01033400371670723
8,0.010800682008266449,0.0,0.0,249,
8,0.010125483386218548,0.0,0.0,259,
8,0.008331820368766785,0.0,0.0,269,
8,,,,278,0.010263098403811455
9,0.009122167713940144,0.0,0.0,279,
9,0.008307572454214096,0.0,0.0,289,
9,0.0077180443331599236,0.0,0.0,299,
9,0.006151678506284952,0.0,0.0,309,
9,,,,309,0.008056426420807838
10,0.007142702583223581,0.0,0.0,319,
10,0.007728686090558767,0.0,0.0,329,
10,0.005778051912784576,0.0,0.0,339,
10,,,,340,0.007702826056629419
11,0.0066376724280416965,0.0,0.0,349,
11,0.006470450200140476,0.0,0.0,359,
11,0.0070337397046387196,0.0,0.0,369,
11,,,,371,0.007204440422356129
12,0.007216072641313076,0.0,0.0,379,
12,0.006631933152675629,0.0,0.0,389,
12,0.005801185965538025,0.0,0.0,399,
12,,,,402,0.0067162225022912025
13,0.006163695361465216,0.0,0.0,409,
13,0.007198941428214312,0.0,0.0,419,
13,0.0062222606502473354,0.0,0.0,429,
13,,,,433,0.0064478241838514805
14,0.006751294247806072,0.0,0.0,439,
14,0.0066018905490636826,0.0,0.0,449,
14,0.005365283694118261,0.0,0.0,459,
14,,,,464,0.006302956957370043
15,0.006199636962264776,0.0,0.0,469,
15,0.006354812532663345,0.0,0.0,479,
15,0.006617321167141199,0.0,0.0,489,
15,,,,495,0.00617719441652298
16,0.0061943791806697845,0.0,0.0,499,
16,0.006095510441809893,0.0,0.0,509,
16,0.005241360515356064,0.0,0.0,519,
16,,,,526,0.0060653360560536385
17,0.00744617497548461,0.0,0.0,529,
17,0.0056806905195117,0.0,0.0,539,
17,0.0054282546043396,0.0,0.0,549,
17,,,,557,0.005968519952148199
18,0.006682772189378738,0.0,0.0,559,
18,0.006549803540110588,0.0,0.0,569,
18,0.005836859345436096,0.0,0.0,579,
18,,,,588,0.0058850920759141445
19,0.005147457122802734,0.0,0.0,589,
19,0.006105005741119385,0.0,0.0,599,
19,0.005563617218285799,0.0,0.0,609,
19,0.004841112066060305,0.0,0.0,619,
19,,,,619,0.005813490133732557
20,0.00569744361564517,0.0,0.0,629,
20,0.006130673456937075,0.0,0.0,639,
20,0.004628637805581093,0.0,0.0,649,
20,,,,650,0.00574712036177516
21,0.005143357440829277,0.0,0.0,659,
21,0.005400598980486393,0.0,0.0,669,
21,0.00593228405341506,0.0,0.0,679,
21,,,,681,0.005672794301062822
22,0.006014949642121792,0.0,0.0,689,
22,0.005404214840382338,0.0,0.0,699,
22,0.004790435545146465,0.0,0.0,709,
22,,,,712,0.005607260391116142
23,0.005306940991431475,0.0,0.0,719,
23,0.006165351718664169,0.0,0.0,729,
23,0.005350635387003422,0.0,0.0,739,
23,,,,743,0.0055664037354290485
24,0.005994789768010378,0.0,0.0,749,
24,0.00557640939950943,0.0,0.0,759,
24,0.004664862062782049,0.0,0.0,769,
24,,,,774,0.005550239700824022
25,0.005398708861321211,0.0,0.0,779,
25,0.005679472349584103,0.0,0.0,789,
25,0.0059436168521642685,0.0,0.0,799,
25,,,,805,0.005565514788031578
26,0.005226134788244963,0.0,0.0,809,
26,0.005349422339349985,0.0,0.0,819,
26,0.004531374666839838,0.0,0.0,829,
26,,,,836,0.005672427825629711
27,0.006633533630520105,0.0,0.0,839,
27,0.004872098099440336,0.0,0.0,849,
27,0.004826919641345739,0.0,0.0,859,
27,,,,867,0.005482678767293692
28,0.006203394383192062,0.0,0.0,869,
28,0.005517978686839342,0.0,0.0,879,
28,0.005103608593344688,0.0,0.0,889,
28,,,,898,0.005223719868808985
29,0.0043722535483539104,0.0,0.0,899,
29,0.0051985434256494045,0.0,0.0,909,
29,0.004810233600437641,0.0,0.0,919,
29,0.004452852997928858,0.0,0.0,929,
29,,,,929,0.005026571452617645
30,0.004962050821632147,0.0,0.0,939,
30,0.004824546165764332,0.0,0.0,949,
30,0.003870212472975254,0.0,0.0,959,
30,,,,960,0.004977120086550713
31,0.004318261053413153,0.0,0.0,969,
31,0.004698232281953096,0.0,0.0,979,
31,0.005221941974014044,0.0,0.0,989,
31,,,,991,0.004977568052709103
32,0.005138726439327002,0.0,0.0,999,
32,0.004572145640850067,0.0,0.0,1009,
32,0.003976066131144762,0.0,0.0,1019,
32,,,,1022,0.00510355643928051
33,0.004368033725768328,0.0,0.0,1029,
33,0.005328621715307236,0.0,0.0,1039,
33,0.0046074544079601765,0.0,0.0,1049,
33,,,,1053,0.005055633839219809
34,0.004935621749609709,0.0,0.0,1059,
34,0.004713625647127628,0.0,0.0,1069,
34,0.0039889076724648476,0.0,0.0,1079,
34,,,,1084,0.0049861520528793335
35,0.004744399338960648,0.0,0.0,1089,
35,0.004927768837660551,0.0,0.0,1099,
35,0.005206397734582424,0.0,0.0,1109,
35,,,,1115,0.004901592619717121
36,0.004501153714954853,0.0,0.0,1119,
36,0.004604257643222809,0.0,0.0,1129,
36,0.004081917926669121,0.0,0.0,1139,
36,,,,1146,0.0048469011671841145
37,0.006118568126112223,0.0,0.0,1149,
37,0.004038859624415636,0.0,0.0,1159,
37,0.004232483450323343,0.0,0.0,1169,
37,,,,1177,0.004783469717949629
38,0.005683835130184889,0.0,0.0,1179,
38,0.005008273292332888,0.0,0.0,1189,
38,0.004507099743932486,0.0,0.0,1199,
38,,,,1208,0.004727221559733152
39,0.0038355737924575806,0.0,0.0,1209,
39,0.004826266318559647,0.0,0.0,1219,
39,0.004286155570298433,0.0,0.0,1229,
39,0.0038995291106402874,0.0,0.0,1239,
39,,,,1239,0.004674010910093784
40,0.004311300348490477,0.0,0.0,1249,
40,0.004416319075971842,0.0,0.0,1259,
40,0.0034926244989037514,0.0,0.0,1269,
40,,,,1270,0.004624095745384693
41,0.0038550877943634987,0.0,0.0,1279,
41,0.004427775274962187,0.0,0.0,1289,
41,0.00485516432672739,0.0,0.0,1299,
41,,,,1301,0.0045765782706439495
42,0.004800181835889816,0.0,0.0,1309,
42,0.0043040732853114605,0.0,0.0,1319,
42,0.0035596322268247604,0.0,0.0,1329,
42,,,,1332,0.00453143147751689
43,0.004022595472633839,0.0,0.0,1339,
43,0.004993959795683622,0.0,0.0,1349,
43,0.004352941643446684,0.0,0.0,1359,
43,,,,1363,0.0044895620085299015
44,0.004576937295496464,0.0,0.0,1369,
44,0.004362292122095823,0.0,0.0,1379,
44,0.003738216357305646,0.0,0.0,1389,
44,,,,1394,0.0044534471817314625
45,0.004469745792448521,0.0,0.0,1399,
45,0.004662956111133099,0.0,0.0,1409,
45,0.004945123568177223,0.0,0.0,1419,
45,,,,1425,0.004426352214068174
46,0.004241779446601868,0.0,0.0,1429,
46,0.00441355025395751,0.0,0.0,1439,
46,0.003767176065593958,0.0,0.0,1449,
46,,,,1456,0.004410743713378906
47,0.0054061077535152435,0.0,0.0,1459,
47,0.0038383197970688343,0.0,0.0,1469,
47,0.003860618220642209,0.0,0.0,1479,
47,,,,1487,0.004411058034747839
48,0.005372671876102686,0.0,0.0,1489,
48,0.0048787277191877365,0.0,0.0,1499,
48,0.004295238293707371,0.0,0.0,1509,
48,,,,1518,0.004429289605468512
49,0.003527070628479123,0.0,0.0,1519,
49,0.0045430222526192665,0.0,0.0,1529,
49,0.00399121455848217,0.0,0.0,1539,
49,0.0036158948205411434,0.0,0.0,1549,
49,,,,1549,0.004413023125380278
50,0.0040911040268838406,0.0,0.0,1559,
50,0.004208731465041637,0.0,0.0,1569,
50,0.0034295765217393637,0.0,0.0,1579,
50,,,,1580,0.004397891461849213
51,0.0036130135413259268,0.0,0.0,1589,
51,0.0041977944783866405,0.0,0.0,1599,
51,0.004647441208362579,0.0,0.0,1609,
51,,,,1611,0.004395487252622843
52,0.004740772303193808,0.0,0.0,1619,
52,0.00414223363623023,0.0,0.0,1629,
52,0.003453227924183011,0.0,0.0,1639,
52,,,,1642,0.004389404784888029
53,0.0037746240850538015,0.0,0.0,1649,
53,0.0048608300276100636,0.0,0.0,1659,
53,0.004185526166111231,0.0,0.0,1669,
53,,,,1673,0.004386211279779673
54,0.004440946504473686,0.0,0.0,1679,
54,0.0041709342040121555,0.0,0.0,1689,
54,0.0036134892143309116,0.0,0.0,1699,
54,,,,1704,0.004382061772048473
55,0.004254605155438185,0.0,0.0,1709,
55,0.00441069295629859,0.0,0.0,1719,
55,0.004796802997589111,0.0,0.0,1729,
55,,,,1735,0.004380117170512676
56,0.003988720942288637,0.0,0.0,1739,
56,0.00420936057344079,0.0,0.0,1749,
56,0.00360920000821352,0.0,0.0,1759,
56,,,,1766,0.0043792701326310635
57,0.005101378541439772,0.0,0.0,1769,
57,0.0035227304324507713,0.0,0.0,1779,
57,0.003683915361762047,0.0,0.0,1789,
57,,,,1797,0.0043790326453745365
58,0.0051964446902275085,0.0,0.0,1799,
58,0.004611729644238949,0.0,0.0,1809,
58,0.004090901464223862,0.0,0.0,1819,
58,,,,1828,0.004378242883831263
59,0.003474850906059146,0.0,0.0,1829,
59,0.004335470963269472,0.0,0.0,1839,
59,0.003781452076509595,0.0,0.0,1849,
59,0.0030010174959897995,0.0,0.0,1859,
59,,,,1859,0.004376662895083427
60,0.0038612394127994776,0.0,0.0,1869,
60,0.003968700300902128,0.0,0.0,1879,
60,0.0033360878005623817,0.0,0.0,1889,
60,,,,1890,0.004374113865196705
61,0.003453255398198962,0.0,0.0,1899,
61,0.004055612254887819,0.0,0.0,1909,
61,0.004466141574084759,0.0,0.0,1919,
61,,,,1921,0.00437040813267231
62,0.004561653360724449,0.0,0.0,1929,
62,0.0039053871296346188,0.0,0.0,1939,
62,0.003337295725941658,0.0,0.0,1949,
62,,,,1952,0.004365869797766209
63,0.003632580628618598,0.0,0.0,1959,
63,0.0047296760603785515,0.0,0.0,1969,
63,0.004044654313474894,0.0,0.0,1979,
63,,,,1983,0.004360793624073267
64,0.004346884787082672,0.0,0.0,1989,
64,0.003998377360403538,0.0,0.0,1999,
64,0.0035682341549545527,0.0,0.0,2009,
64,,,,2014,0.0043550822883844376
65,0.004099258221685886,0.0,0.0,2019,
65,0.004213940352201462,0.0,0.0,2029,
65,0.004652447532862425,0.0,0.0,2039,
65,,,,2045,0.00434881541877985
66,0.003848567372187972,0.0,0.0,2049,
66,0.004021064378321171,0.0,0.0,2059,
66,0.003513511037454009,0.0,0.0,2069,
66,,,,2076,0.00434205261990428
67,0.0049522193148732185,0.0,0.0,2079,
67,0.00335860182531178,0.0,0.0,2089,
67,0.003594961715862155,0.0,0.0,2099,
67,,,,2107,0.004334846045821905
68,0.005104143638163805,0.0,0.0,2109,
68,0.00444925157353282,0.0,0.0,2119,
68,0.0039316704496741295,0.0,0.0,2129,
68,,,,2138,0.004327272530645132
69,0.0034299378748983145,0.0,0.0,2139,
69,0.004222805146127939,0.0,0.0,2149,
69,0.003611797234043479,0.0,0.0,2159,
69,0.0023785196244716644,0.0,0.0,2169,
69,,,,2169,0.004319417756050825
70,0.003650180995464325,0.0,0.0,2179,
70,0.003799297846853733,0.0,0.0,2189,
70,0.003110591322183609,0.0,0.0,2199,
70,,,,2200,0.004311486147344112
71,0.0033040873240679502,0.0,0.0,2209,
71,0.003921660128980875,0.0,0.0,2219,
71,0.004309286829084158,0.0,0.0,2229,
71,,,,2231,0.004303785972297192
72,0.004455031827092171,0.0,0.0,2239,
72,0.003767818445339799,0.0,0.0,2249,
72,0.003112061880528927,0.0,0.0,2259,
72,,,,2262,0.004296578001230955
73,0.0034975248854607344,0.0,0.0,2269,
73,0.004605364985764027,0.0,0.0,2279,
73,0.0038846773095428944,0.0,0.0,2289,
73,,,,2293,0.00428959121927619
74,0.004302040208131075,0.0,0.0,2299,
74,0.0038678792770951986,0.0,0.0,2309,
74,0.0034236437641084194,0.0,0.0,2319,
74,,,,2324,0.0042814332991838455
75,0.003970175515860319,0.0,0.0,2329,
75,0.004016794264316559,0.0,0.0,2339,
75,0.004533926025032997,0.0,0.0,2349,
75,,,,2355,0.004270761739462614
76,0.003653186373412609,0.0,0.0,2359,
76,0.003930175676941872,0.0,0.0,2369,
76,0.003311293898150325,0.0,0.0,2379,
76,,,,2386,0.004258471541106701
77,0.004697383381426334,0.0,0.0,2389,
77,0.0032431099098175764,0.0,0.0,2399,
77,0.0034942447673529387,0.0,0.0,2409,
77,,,,2417,0.004246926866471767
78,0.004953822121024132,0.0,0.0,2419,
78,0.00438318308442831,0.0,0.0,2429,
78,0.0037744275759905577,0.0,0.0,2439,
78,,,,2448,0.004236230161041021
79,0.003370204009115696,0.0,0.0,2449,
79,0.004084152169525623,0.0,0.0,2459,
79,0.0034716748632490635,0.0,0.0,2469,
79,0.001785852713510394,0.0,0.0,2479,
79,,,,2479,0.004222697578370571
80,0.0035871854051947594,0.0,0.0,2489,
80,0.00362164038233459,0.0,0.0,2499,
80,0.002838986460119486,0.0,0.0,2509,
80,,,,2510,0.004181512165814638
81,0.0032930755987763405,0.0,0.0,2519,
81,0.0038963172119110823,0.0,0.0,2529,
81,0.004166982602328062,0.0,0.0,2539,
81,,,,2541,0.004065350163727999
82,0.0044822427444159985,0.0,0.0,2549,
82,0.0036917186807841063,0.0,0.0,2559,
82,0.0028322511352598667,0.0,0.0,2569,
82,,,,2572,0.004068805370479822
83,0.003275287803262472,0.0,0.0,2579,
83,0.004542569629848003,0.0,0.0,2589,
83,0.003718225983902812,0.0,0.0,2599,
83,,,,2603,0.004009940195828676
84,0.0041236369870603085,0.0,0.0,2609,
84,0.0037878970615565777,0.0,0.0,2619,
84,0.003226393135264516,0.0,0.0,2629,
84,,,,2634,0.003994131460785866
85,0.003908329177647829,0.0,0.0,2639,
85,0.0038720376323908567,0.0,0.0,2649,
85,0.004504071082919836,0.0,0.0,2659,
85,,,,2665,0.004009606782346964
86,0.0035740945022553205,0.0,0.0,2669,
86,0.003955001011490822,0.0,0.0,2679,
86,0.0032135979272425175,0.0,0.0,2689,
86,,,,2696,0.003960155416280031
87,0.004409434739500284,0.0,0.0,2699,
87,0.0031254778150469065,0.0,0.0,2709,
87,0.0033702093642205,0.0,0.0,2719,
87,,,,2727,0.003977803513407707
