Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,35.55,43.72,34.52,34.21,33.81,15.51,38.26,30.94,25.78,8.24
2,11.32,11.62,18.73,10.2,11.33,6.75,11.46,13.49,3.89,10.91
3,18.89,7.54,11.95,22.17,21.58,8.04,14.94,13.28,10.56,3.97
4,6.53,19.58,19.62,13.81,13.36,15.3,17.87,11.16,14.2,20.02
