Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,8.94,7.67,7.55,8.47,8.32,8.0,8.68,8.58,7.29,11.51
2,16.04,17.33,16.29,13.63,15.2,16.32,17.97,23.84,17.86,16.01
3,11.92,12.57,9.59,14.13,9.96,12.92,14.14,20.89,8.59,15.06
4,14.48,11.87,11.9,12.97,13.36,23.0,15.63,20.5,11.57,11.68
