Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,90.21,92.33,96.11,96.1,88.32,88.44,92.24,80.56,92.28,94.24
2,86.32,84.62,96.18,80.58,70.96,84.51,80.64,60.91,76.69,100.0
3,76.56,67.11,80.68,61.27,74.73,88.36,63.29,64.91,69.06,86.51
4,70.74,57.48,72.83,59.1,53.44,59.38,47.53,80.52,82.62,59.87
