Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,6.58,5.84,5.68,5.58,6.16,5.57,5.66,4.83,5.61,4.36
20,15.67,13.85,13.81,14.94,15.62,15.52,15.06,14.03,13.21,13.04
30,32.34,29.28,28.54,31.0,30.55,30.1,28.13,28.77,28.6,27.53
