Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,6.58,6.09,5.86,6.2,6.33,5.44,5.63,5.09,5.52,4.97
20,17.37,15.03,15.39,15.44,16.92,15.36,14.75,14.15,14.69,13.83
30,33.44,30.13,30.16,32.08,32.58,30.6,30.36,28.78,30.05,28.46
