Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,88.65,90.29,90.19,89.47,89.33,89.3,89.92,89.78,90.48,91.68
20,75.92,77.4,75.56,73.91,73.67,71.23,71.25,72.01,77.87,77.01
30,41.83,42.27,47.47,26.54,29.15,26.44,24.7,53.04,53.65,60.78
