Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,5.88,5.88,2.16,2.16,5.15,5.49,6.79,6.5,6.5,5.78
20,91.75,91.75,33.27,33.27,60.35,65.66,100.23,74.84,74.84,87.39
30,598.23,598.2,216.45,216.37,440.9,394.44,654.36,507.98,508.02,572.87
