Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,2.99,2.82,1.48,1.57,1.65,1.81,3.15,2.06,1.96,2.36
20,3.08,3.2,1.61,1.55,1.71,1.8,3.77,2.37,2.13,2.84
30,3.57,3.72,1.77,1.78,1.83,1.85,4.44,2.31,2.11,2.96
