time,part,x_r,y_r,z_r,x_d,y_d,z_d
0.233333,tail root,-23.8395,12.0906,-6,-23.8395,12.0906,-6
0.233333,head center,18.7645,-5.25591,19,18.7645,-5.25591,19
0.233333,tail base,-3.92674,3.983,19,-3.92674,3.983,19
0.266667,nose,37.9803,-12.4829,2.5,39.0292,-8.75646,2.5
0.266667,left ear,22.1551,1.9956,19,20.7111,2.40204,19
0.266667,right ear,16.5312,-12.4481,19,17.9752,-12.8546,19
0.266667,left front paw,25.0662,-1.55241,-8,17.748,1.29704,-8
0.266667,right front paw,21.075,-11.8028,-8,28.3932,-14.6523,-8
0.266667,left hind paw,1.411,16.2432,-8,8.72916,13.3937,-8
0.266667,right hind paw,-8.38549,-8.91689,-8,-15.7037,-6.06744,-8
0.266667,tail root,-23.5221,11.4641,-6,-23.5221,11.4641,-6
0.266667,head center,19.3432,-5.22627,19,19.3432,-5.22627,19
0.266667,tail base,-3.48725,3.66314,19,-3.48725,3.66314,19
0.3,nose,39.3575,-10.1284,2.5,40.0966,-6.58981,2.5
0.3,left ear,22.4933,3.12536,19,21.1221,3.41177,19
0.3,right ear,17.966,-11.6987,19,19.3372,-11.9851,19
0.3,left front paw,25.6617,-0.194872,-8,18.6609,1.94322,-8
0.3,right front paw,22.4487,-10.7152,-8,29.4495,-12.8533,-8
0.3,left hind paw,0.741272,15.7808,-8,7.74206,13.6427,-8
0.3,right hind paw,-7.14513,-10.0418,-8,-14.1459,-7.90368,-8
0.3,tail root,-23.7643,9.14942,-6,-23.7643,9.14942,-6
0.3,head center,20.2297,-4.28667,19,20.2297,-4.28667,19
0.3,tail base,-3.20193,2.86951,19,-3.20193,2.86951,19
0.333333,nose,36.7284,-17.5701,2.5,38.1372,-14.5243,2.5
0.333333,left ear,23.1767,-0.944353,19,21.9965,-0.398451,19
0.333333,right ear,15.5124,-14.4168,19,16.6926,-14.9627,19
0.333333,left front paw,25.5409,-4.87793,-8,19.6449,-1.52375,-8
0.333333,right front paw,20.1017,-14.4391,-8,25.9977,-17.7932,-8
0.333333,left hind paw,4.72472,16.1681,-8,10.6207,12.8139,-8
0.333333,right hind paw,-8.62606,-7.30011,-8,-14.5221,-3.94593,-8
0.333333,tail root,-20.6383,15.0652,-6,-20.6383,15.0652,-6
0.333333,head center,19.3446,-7.6806,19,19.3446,-7.6806,19
0.333333,tail base,-1.95067,4.434,19,-1.95067,4.434,19
0.366667,nose,-26.7969,15.0208,2.5,-27.866,12.1308,2.5
0.366667,left ear,-11.8708,-0.382968,19,-10.7509,-0.797272,19
0.366667,right ear,-5.38871,13.6965,19,-6.50855,14.1108,19
0.366667,left front paw,-14.5633,3.33363,-8,-8.91493,0.733186,-8
0.366667,right front paw,-9.96308,13.3255,-8,-15.6114,15.926,-8
0.366667,left hind paw,7.97928,-15.8519,-8,2.33094,-13.2514,-8
0.366667,right hind paw,19.2706,8.67372,-8,24.919,6.07328,-8
0.366667,tail root,33.1546,-12.5804,-6,33.1546,-12.5804,-6
0.366667,head center,-8.62975,6.65679,19,-8.62975,6.65679,19
0.366667,tail base,13.625,-3.58908,19,13.625,-3.58908,19
0.4,nose,-29.0637,10.6376,2.5,-29.6883,7.89148,2.5
0.4,left ear,-12.169,-2.57721,19,-11.1049,-2.81924,19
0.4,right ear,-7.67585,12.2573,19,-8.73998,12.4993,19
0.4,left front paw,-15.345,0.735704,-8,-9.91381,-0.909325,-8
0.4,right front paw,-12.1563,11.2634,-8,-17.5875,12.9084,-8
0.4,left hind paw,9.61224,-15.1824,-8,4.18104,-13.5374,-8
0.4,right hind paw,17.439,10.6583,-8,22.8702,9.01329,-8
0.4,tail root,34.1025,-8.49446,-6,34.1025,-8.49446,-6
0.4,head center,-9.92242,4.84003,19,-9.92242,4.84003,19
0.4,tail base,13.5256,-2.26203,19,13.5256,-2.26203,19
0.433333,nose,-30.2837,8.11673,2.5,-30.6732,5.59821,2.5
0.433333,left ear,-12.4235,-3.76081,19,-11.4476,-3.91173,19
0.433333,right ear,-9.08357,11.3751,19,-10.0595,11.526,19
0.433333,left front paw,-15.8447,-0.701743,-8,-10.837,-1.80677,-8
0.433333,right front paw,-13.4744,10.0398,-8,-18.4822,11.1449,-8
0.433333,left hind paw,10.2619,-14.655,-8,5.2542,-13.55,-8
0.433333,right hind paw,16.0799,11.7107,-8,21.0876,10.6057,-8
0.433333,tail root,34.1658,-6.10495,-6,34.1658,-6.10495,-6
0.433333,head center,-10.7535,3.80713,19,-10.7535,3.80713,19
0.433333,tail base,13.1709,-1.47213,19,13.1709,-1.47213,19
0.466667,nose,-28.0449,16.2071,2.5,-28.9219,14.1047,2.5
0.466667,left ear,-13.4414,0.497215,19,-12.6267,0.157369,19
0.466667,right ear,-6.66882,14.4393,19,-7.48348,14.7792,19
0.466667,left front paw,-16.0562,4.26883,-8,-11.9382,2.26843,-8
0.466667,right front paw,-11.2499,14.1632,-8,-15.3679,16.1636,-8
0.466667,left hind paw,6.08376,-15.3799,-8,1.96571,-13.3795,-8
0.466667,right hind paw,17.8811,8.90639,-8,21.9992,6.906,-8
0.466667,tail root,31.3215,-12.6309,-6,31.3215,-12.6309,-6
0.466667,head center,-10.0551,7.46827,19,-10.0551,7.46827,19
0.466667,tail base,11.9824,-3.23674,19,11.9824,-3.23674,19
0.5,nose,-30.9511,9.96071,2.5,-31.3681,7.99972,2.5
0.5,left ear,-13.6114,-2.66457,19,-12.8515,-2.82615,19
0.5,right ear,-9.63174,12.3158,19,-10.3916,12.4774,19
0.5,left front paw,-16.8996,0.537023,-8,-13.0097,-0.496377,-8
0.5,right front paw,-14.0753,11.1683,-8,-17.9653,12.2017,-8
0.5,left hind paw,8.59091,-14.5123,-8,4.70098,-13.4789,-8
0.5,right hind paw,15.5233,11.5826,-8,19.4132,10.5492,-8
0.5,tail root,32.8363,-6.98506,-6,32.8363,-6.98506,-6
0.5,head center,-11.6216,4.82563,19,-11.6216,4.82563,19
0.5,tail base,12.0571,-1.46485,19,12.0571,-1.46485,19
0.533333,nose,-29.9265,14.6985,2.5,-30.5217,13.0749,2.5
0.533333,left ear,-14.4425,-0.144265,19,-13.8134,-0.374868,19
0.533333,right ear,-8.48412,14.1647,19,-9.11327,14.3953,19
0.533333,left front paw,-17.2702,3.4705,-8,-14.0685,2.13728,-8
0.533333,right front paw,-13.0417,13.6253,-8,-16.2434,14.9585,-8
0.533333,left hind paw,5.96456,-14.8706,-8,2.76285,-13.5373,-8
0.533333,right hind paw,16.3437,10.0548,-8,19.5454,8.72158,-8
0.533333,tail root,31.0021,-10.6727,-6,31.0021,-10.6727,-6
0.533333,head center,-11.4633,7.01024,19,-11.4633,7.01024,19
0.533333,tail base,11.1541,-2.40788,19,11.1541,-2.40788,19
0.566667,nose,-31.4314,12.2391,2.5,-31.8311,10.8441,2.5
0.566667,left ear,-14.8213,-1.33175,19,-14.2807,-1.48665,19
0.566667,right ear,-10.0139,13.4039,19,-10.5545,13.5588,19
0.566667,left front paw,-17.9262,2.04791,-8,-15.1614,1.14592,-8
0.566667,right front paw,-14.5145,12.5055,-8,-17.2793,13.4074,-8
0.566667,left hind paw,6.68713,-14.3969,-8,3.92235,-13.495,-8
0.566667,right hind paw,15.0613,11.2716,-8,17.8261,10.3696,-8
0.566667,tail root,31.314,-8.23098,-6,31.314,-8.23098,-6
0.566667,head center,-12.4176,6.03607,19,-12.4176,6.03607,19
0.566667,tail base,10.8742,-1.56268,19,10.8742,-1.56268,19
0.6,nose,-30.7916,15.5135,2.5,-31.224,14.4254,2.5
0.6,left ear,-15.5003,0.47236,19,-15.0786,0.304825,19
0.6,right ear,-9.35787,14.7033,19,-9.77954,14.8709,19
0.6,left front paw,-18.2811,4.12328,-8,-16.1283,3.19405,-8
0.6,right front paw,-13.922,14.2227,-8,-16.0749,15.1519,-8
0.6,left hind paw,4.71523,-14.5158,-8,2.56235,-13.5866,-8
0.6,right hind paw,15.4149,10.2736,-8,17.5678,9.34439,-8
0.6,tail root,29.8048,-10.6412,-6,29.8048,-10.6412,-6
0.6,head center,-12.4291,7.58785,19,-12.4291,7.58785,19
0.6,tail base,10.0651,-2.12111,19,10.0651,-2.12111,19
