epoch,loss,skeleton,smooth,step,val_loss
0,0.29047730565071106,0.26423153281211853,1.9603099644882604e-05,9,
0,0.23851849138736725,0.1102558895945549,3.0561241146642715e-05,19,
0,0.16137361526489258,0.05149269849061966,3.116933658020571e-05,29,
0,,,,30,0.14936181902885437
1,0.10264496505260468,0.022097140550613403,3.357171226525679e-05,39,
1,0.05890016257762909,0.017810145393013954,3.428671334404498e-05,49,
1,0.0399729423224926,0.01518714614212513,3.322081101941876e-05,59,
1,,,,61,0.037605710327625275
2,0.03321981802582741,0.011750991456210613,3.110918987658806e-05,69,
2,0.0318872332572937,0.010493442416191101,2.9208807973191142e-05,79,
2,0.029851693660020828,0.009242288768291473,2.7907231924473308e-05,89,
2,,,,92,0.02805284969508648
3,0.026882532984018326,0.007853532209992409,2.7711515940609388e-05,99,
3,0.02381831780076027,0.007551985327154398,2.8248014132259414e-05,109,
3,0.021565673872828484,0.006239609327167273,2.925912667706143e-05,119,
3,,,,123,0.0201527401804924
4,0.018681803718209267,0.006589651107788086,2.9596372769447044e-05,129,
4,0.01683853380382061,0.006401992868632078,3.0199302273103967e-05,139,
4,0.014380211010575294,0.0058152079582214355,3.106732037849724e-05,149,
4,,,,154,0.01302946824580431
5,0.01251599844545126,0.0054541477002203465,3.045474659302272e-05,159,
5,0.010625723749399185,0.004859557840973139,3.2174739317269996e-05,169,
5,0.009915727190673351,0.004562206566333771,3.14540920953732e-05,179,
5,,,,185,0.009723295457661152
6,0.00969721470028162,0.004350318573415279,3.185473178746179e-05,189,
6,0.009367141872644424,0.00399284902960062,3.1464940548175946e-05,199,
6,0.00894293375313282,0.003655987326055765,3.051307430723682e-05,209,
6,,,,216,0.008709645830094814
7,0.008963809348642826,0.003379950299859047,3.0248465918703005e-05,219,
7,0.00839308276772499,0.0031567346304655075,2.9587905373773538e-05,229,
7,0.008452145382761955,0.0031908152159303427,2.893319833674468e-05,239,
7,,,,247,0.00810770969837904
8,0.008047396317124367,0.003118418389931321,2.727904029597994e-05,249,
8,0.008028109557926655,0.002733063418418169,2.7629976102616638e-05,259,
8,0.007985347881913185,0.002537069609388709,2.7052879886468872e-05,269,
8,,,,278,0.007640708703547716
9,0.007774027995765209,0.00247033778578043,2.650579517649021e-05,279,
