Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,99.45,97.87,98.76,95.63,99.23,97.78,94.89,94.5,98.38,95.81
2,46.86,68.85,61.95,54.77,50.03,40.86,44.16,51.16,69.48,60.57
3,38.07,46.3,40.18,27.57,26.53,28.22,21.16,21.98,42.48,35.88
4,21.89,43.34,37.54,22.74,20.58,16.51,13.89,27.53,46.09,36.15
