Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.83,0.82,0.52,0.52,1.29,1.42,1.06,1.1,1.07,0.73
20,1.95,2.03,1.62,1.26,1.32,1.33,2.02,1.33,1.33,1.52
30,2.86,2.94,1.6,1.21,1.18,1.38,3.15,1.77,1.59,2.18
