Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,9.57,3.34,5.46,12.91,17.33,15.33,20.13,19.88,4.1,3.89
20,20.4,24.05,25.18,18.15,21.49,19.38,21.17,20.14,24.8,25.59
30,23.45,19.94,17.95,26.75,25.85,24.9,25.05,23.19,18.14,20.82
