Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,88.83,89.21,89.37,89.63,88.66,88.89,89.06,88.32,89.96,90.24
20,68.07,72.68,75.28,59.89,56.54,51.35,57.9,70.32,76.75,75.66
30,51.58,65.41,66.41,50.46,53.18,45.37,51.13,40.44,65.92,59.12
