Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,99.44,99.72,99.75,98.81,98.97,99.23,98.24,98.87,99.75,99.76
2,75.85,87.53,84.31,76.71,71.98,65.12,66.93,60.61,85.94,76.49
3,44.39,55.36,55.95,27.93,35.65,32.05,28.55,41.0,55.69,61.61
4,27.82,34.42,34.17,17.49,20.55,27.09,15.79,20.73,33.57,30.98
