Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,86.56,88.24,88.27,87.32,88.19,88.62,87.21,87.03,88.29,88.66
20,59.6,75.7,68.78,55.38,72.23,74.2,62.62,60.57,70.06,74.1
30,39.38,52.99,45.24,38.91,30.46,40.91,33.9,50.8,56.37,51.52
