Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,10.05,10.01,10.03,9.47,9.47,9.42,9.35,9.86,10.04,9.85
20,16.44,16.97,16.56,14.77,14.35,13.81,14.32,14.81,16.88,16.67
30,22.6,21.5,22.04,21.04,21.69,21.4,21.32,22.44,21.63,21.4
