Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,17.86,13.84,15.77,14.61,15.67,14.19,16.26,17.94,15.35,16.33
2,13.34,12.24,14.38,19.61,15.76,14.13,22.5,32.49,15.6,9.73
3,16.41,16.21,15.34,18.09,17.04,17.82,25.83,23.7,15.19,18.37
4,21.23,19.27,19.04,21.98,20.17,19.7,20.98,22.19,16.14,17.51
