Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,4.79,3.73,8.93,6.09,9.55,3.0,5.3,3.47,8.97,6.27
2,7.77,3.06,4.09,7.24,5.29,1.83,5.59,4.49,7.63,6.26
3,3.01,2.3,1.1,3.42,1.8,3.39,0.82,3.51,6.1,0.41
4,17.28,18.39,33.41,21.79,13.72,9.75,19.41,17.41,30.91,25.7
