Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,5.24,4.24,6.36,4.0,2.56,3.6,5.19,5.73,3.66,4.21
2,5.69,5.02,10.29,7.27,4.36,5.49,6.58,2.7,3.19,4.64
3,5.14,5.93,6.7,4.85,2.96,2.39,6.19,2.82,2.99,7.33
4,9.24,7.03,16.8,14.21,7.11,6.58,12.75,5.29,4.02,7.0
