Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,7.27,6.11,6.03,6.96,6.61,5.54,5.57,5.03,5.76,5.32
20,22.21,19.71,19.14,20.62,19.76,17.49,18.72,17.31,18.9,16.38
30,40.23,36.49,36.04,37.87,38.37,35.69,34.91,34.3,36.01,33.76
